Date, Count
21/03/2019 19:49:45,0
21/03/2019 19:49:55,0
21/03/2019 19:53:48,21/03/2019 19:49:45 0
21/03/2019 19:53:58,21/03/2019 19:49:45 0
21/03/2019 19:54:08,21/03/2019 19:49:45 0
21/03/2019 19:54:16,21/03/2019 19:53:58 21/03/2019 19:49:45 0
21/03/2019 19:54:27,21/03/2019 19:53:58 21/03/2019 19:49:45 0
21/03/2019 19:54:38,21/03/2019 19:54:16 21/03/2019 19:53:58 21/03/2019 19:49:45 0
21/03/2019 19:55:25,21/03/2019 19:54:27 21/03/2019 19:53:58 21/03/2019 19:49:45 0
21/03/2019 19:56:29,21/03/2019 19:54:27 21/03/2019 19:53:58 21/03/2019 19:49:45 0
21/03/2019 20:02:08,1311334
21/03/2019 20:05:47,1311334
21/03/2019 20:10:15,1311334
21/03/2019 20:10:42,1311334
